Phase,Readiness,Account,Customer,Branch,Rev 2024,Rev 2025,YoY%,Trend,Parts,Filters,Consistent,Equipment,Peak Season,Stock Cost,Sell Value,Annual Margin,GM%,Bin ROI
1,95,272610,PERRIN ASPHALT CO INC,North Canton,23461,53558,1.283,Growing,6,5,6,"Bomag, Kobelco, Extec",Fall,2197.5,3264.0,1066.5,0.326746323529412,1.48532423208191
1,95,743440,HELMS & SONS EXCAVATING,Perrysburg,21563,40186,0.864,Growing,6,4,6,"Kobelco, Etnyre, Case",Spring,567.35,910.67,343.32,0.376997155940132,1.6051291090156
1,95,70259,OHIO CENTRAL RAILROAD INC,Cambridge,17553,33016,0.881,Growing,5,4,5,"Case, Case Backhoes",Summer,812.59,1259.45,446.86,0.354805669141292,1.54992062417701
1,90,1347619,INDIANA DEPT OF TRANSPORTATION,Indianapolis,40792,82056,1.012,Growing,9,7,9,"Etnyre, Bomag",Winter,3649.29,5644.91,1995.62,0.353525565509459,1.54685157934831
1,90,411940,AXIS CIVIL CONSTRUCTION,Heath,15521,59861,2.857,Growing,4,3,4,"Case Backhoes, Kobelco",Winter,1718.59,2799.43,1080.84,0.386092883194079,1.62891090952467
1,90,3001754,SELECT WATER SOLUTIONS LLC,Cambridge,47502,56202,0.174,Growing,4,3,4,"Kubota, Extec, JLG",Fall,1289.64,1999.82,710.18,0.355121960976488,1.55068081014857
1,90,436431,GERKEN MATERIALS INC,Perrysburg,31470,49914,0.586,Growing,7,3,7,Kobelco,Winter,1711.72,2687.05,975.33,0.362974265458402,1.56979529362279
1,90,677470,RIEGLER BLACKTOP,Burlington,22622,43939,0.942,Growing,5,4,5,"Bomag, Case",Summer,2934.6,4207.15,1272.55,0.302473170673734,1.43363661146323
1,90,257354,LIBERTY TIRE SERVICES OF LLC,North Canton,9162,43192,3.714,Growing,8,7,8,"Case, Extec",Summer,2215.96,3435.99,1220.03,0.355073792414995,1.55056499214787
1,90,15551,BI-CON SERVICES INC,Cambridge,37422,40090,0.071,Growing,8,4,8,"Kobelco Excavators, JLG",Winter,2478.67,4037.52,1558.85,0.386090966732053,1.62890582449459
1,90,248740,JOSEPH A JEFFRIES CO,North Canton,14908,36728,1.464,Growing,4,3,4,"Kobelco Excavators, Bomag",Spring,446.99,728.12,281.13,0.386103938911169,1.6289402447482
1,90,99749,ZEMBA BROS INC,Cambridge,14175,33380,1.355,Growing,5,4,5,"Case, Bomag",Fall,1509.34,2340.27,830.93,0.355057322445701,1.55052539520585
1,90,1277492,RIETH-RILEY CONST COMPANY INC,Indianapolis,13447,31333,1.33,Growing,6,4,6,Gradall,Winter,1551.06,2542.35,991.29,0.389910909198183,1.63910487021779
1,90,265381,STANLEY MILLER CONST CO,North Canton,14737,30517,1.071,Growing,3,3,3,"Case Excavators, New Holland",Summer,954.16,1479.4,525.24,0.355035825334595,1.55047371510019
1,90,92890,TUSCARAWAS CO ENGINEER,Cambridge,16657,28371,0.703,Growing,4,3,4,"Case, Etnyre",Spring,465.44,758.15,292.71,0.386084547912682,1.62888879339979
1,90,75133,R & R PIPELINE,Heath,14701,27596,0.877,Growing,8,4,8,"Case Excavators, Kobelco Excavators",Summer,1677.39,2626.84,949.45,0.36144188454569,1.56602817472383
1,90,492630,TURN KEY TUNNELING,Dublin,13190,26914,1.04,Growing,4,4,4,"Kobelco Excavators, Kubota",Fall,562.13,915.62,353.49,0.38606627203425,1.62884030384431
1,85,3068209,MILLER PIPELINE,Environmental,35380,72740,1.064,Growing,5,2,5,Kobelco,Summer,3968.08,6320.8,2352.72,0.372218706492849,1.59291143323723
1,85,210822,ALLISON CONTRACTING LLC,North Canton,25835,43709,0.692,Growing,3,1,3,"Kobelco, Bomag, Case",Summer,268.9,437.95,169.05,0.386002968375385,1.62867236891038
1,85,483664,SHELLY AND SANDS INC,Dublin,25095,40817,0.627,Growing,3,1,3,"Bomag, Kobelco Excavators",Spring,970.69,1505.41,534.72,0.355198915909951,1.55086587891088
1,85,214082,THE BEAVER EXCAVATING COMPANY,North Canton,21433,40269,0.879,Growing,12,10,12,"Kobelco Excavators, Schwarze",Winter,3840.81,6256.5,2415.69,0.386108846799329,1.6289532676701
1,85,1269002,NIBLOCK EXCAVATING INC,Fort Wayne,25825,35261,0.365,Growing,3,2,3,"Kobelco Excavators, Bomag",Summer,315.84,514.51,198.67,0.386134380284154,1.62902102330294
1,85,1370860,OUTDOOR ENVIRONMENTS GROUP,Indianapolis,22298,25578,0.267,Growing,5,2,5,"Kubota, Deere",Fall,1079.73,1847.95,768.22,0.415714710895858,1.71149268798681
1,85,2050191,KALTZ EXCAVATING INC,Novi,20514,25461,0.241,Growing,11,7,11,"Case Backhoes, Case",Spring,3520.16,5458.4,1938.24,0.355093067565587,1.55061133584837
1,85,66712,MORGAN CO ENGINEER,Marietta,7597,14730,0.939,Growing,5,4,5,"Case, Kobelco Excavators",Spring,768.66,1252.11,483.45,0.386108249275224,1.62895168214815
1,85,644650,HINKLE ENVIRONMENTAL SERVICES,Burlington,5814,10231,0.76,Growing,7,5,7,Kobelco,Winter,908.22,1479.55,571.33,0.386151194619986,1.6290656448878
1,80,878690,RONYAK BROS PAVING INC,Mentor,42779,65613,0.534,Growing,4,2,4,"Case Backhoes, Etnyre",Fall,3193.22,5273.14,2079.92,0.394436711333285,1.65135505853026
1,80,3050051,HOLMES RENTAL & SALES INC,Heath,6381,22873,2.585,Growing,9,6,9,,Winter,2494.23,4063.0,1568.77,0.386111247846419,1.62895963884646
1,80,658792,RAY LONKARD CONSTRUCTION,Burlington,18486,21709,0.174,Growing,8,6,8,"Kobelco Excavators, Case Backhoes",Winter,2847.03,4414.47,1567.44,0.355068671890397,1.55055268121516
1,80,219352,BURKEY EXCAVATING INC,North Canton,13708,19153,0.397,Growing,3,3,3,"Case, Kobelco, Trail King",Fall,268.16,415.8,147.64,0.355074555074555,1.55056682577566
1,80,2037796,GOJCAJ CONCRETE,Novi,15932,18185,0.141,Growing,8,7,8,"Case Backhoes, C2",Spring,1860.58,2885.07,1024.49,0.355100569483583,1.55062937363618
1,80,3050711,J & H EXCAVATING LLC,Marietta,9665,16678,0.273,Growing,3,3,3,"Case Excavators, Case",Fall,411.04,637.32,226.28,0.355049268813155,1.55050603347606
1,80,3012744,JAMES H DREW CORP,Indianapolis,12831,13748,0.503,Growing,12,7,12,Kubota,Fall,2970.42,5084.6,2114.18,0.415800652952051,1.7117444671124
1,80,3042324,J GREEN EXCAVATING,North Canton,10436,11846,0.135,Growing,6,6,6,"Case, Extec, Kobelco",Winter,1467.85,2276.02,808.17,0.355080359575048,1.55058078141499
1,80,663872,MAXWELL CONSTRUCTION CO,Burlington,8013,11212,0.399,Growing,4,4,4,"Trail King, Kobelco, Bomag",Summer,902.05,1469.35,567.3,0.386089087011263,1.62890083698243
1,80,3013365,SAVVAS RAMONE LLC,Dublin,4582,11195,1.443,Growing,3,3,3,Extec,Winter,413.88,641.8,227.92,0.35512620754129,1.55069102155214
1,75,3072404,N S G GROUP,Perrysburg,92222,93404,0.013,Growing,3,0,3,"ZZ, CT",Summer,1252.26,1940.92,688.66,0.354811120499557,1.54993371983454
1,75,447530,GEORGE J IGEL & CO INC,Dublin,35715,30743,-0.139,Declining,6,4,6,"Bomag, Schwarze",Fall,2839.11,4070.21,1231.1,0.302465966129512,1.43362180401605
1,75,585924,SNYDER BRICK & BLOCK,Monroe,14739,23651,0.605,Growing,6,6,6,"Case, Extec, Trail King",Spring,3031.35,4700.56,1669.21,0.355108752999643,1.55064905075297
1,75,174151,CITY OF PORTSMOUTH STREET DEPT,Gallipolis,17305,22514,0.301,Growing,19,14,19,"Case Backhoes, FD",Fall,3056.85,4851.25,1794.4,0.369884050502448,1.58700950324681
1,75,565371,R A MILLER CONSTRUCTION,Monroe,17805,20615,0.158,Growing,11,7,11,"Case Excavators, Kobelco Excavators",Spring,3618.06,5610.1,1992.04,0.35508101459867,1.55058235629039
1,75,1325912,CUSTOM CONCRETE,Indianapolis,7106,19276,1.357,Growing,8,3,8,"Kubota, Bomag",Summer,4123.72,7058.54,2934.82,0.415782867278502,1.71169235544605
1,75,3054939,CLIFFORD AGGREGATE INC,Fort Wayne,13396,18005,0.344,Growing,12,10,12,"Kobelco, Extec, Case",Summer,3249.16,5292.56,2043.4,0.386089151563705,1.6289010082606
1,75,3055350,EXTRA ENERGY INC,South Charleston,7057,17672,1.504,Growing,3,2,3,Kobelco,Fall,272.2,443.4,171.2,0.386107352277853,1.62894930198384
1,75,3063342,RJ RECYCLING,South Charleston,13130,13704,0.044,Growing,3,1,3,"CT, FU",Spring,243.82,397.14,153.32,0.38606033136929,1.62882454269543
1,75,132842,FIELDS EXCAVATING INC,Gallipolis,5707,12993,1.277,Growing,4,3,4,"Kobelco, Case, International",Fall,1153.2,1878.2,725.0,0.386007879884996,1.62868539715574
1,75,548129,JACKSON CONSTRUCTION INC,Monroe,1733,9379,4.412,Growing,5,4,5,"Case Backhoes, C5",Summer,1059.25,1642.46,583.21,0.355083228815314,1.55058767996224
1,75,1910980S,AMTRAK PASSENGER RAILROAD,Holt,7395,8748,0.183,Growing,3,3,3,Case,Winter,484.8,751.73,266.93,0.35508759794075,1.55059818481848
1,75,111881,AUSTIN POWDER COMPANY,Gallipolis,6386,8668,0.357,Growing,3,3,3,"Case Backhoes, Case",Winter,480.37,744.85,264.48,0.355078203665168,1.55057559797656
1,75,3000438,REPUBLIC SERVICES,Novi,4289,7697,0.795,Growing,7,7,7,Case,Spring,2972.81,4609.54,1636.73,0.35507447597808,1.55056663560739
1,75,3049489,MLG DIESEL REPAIR,Heath,399,5365,12.438,Growing,4,4,4,,Spring,650.1,1008.08,357.98,0.355110705499564,1.5506537455776
1,70,1938620,GRAND TRUNK WESTERN RAILROAD,Novi,80782,93833,0.162,Growing,2,0,2,"Case, Case Backhoes",Spring,419.86,651.4,231.54,0.355449800429843,1.55146953746487
1,70,978810,ROSBY RESOURCE RECYCLING INC,Brunswick,36051,40344,0.119,Growing,1,1,1,"Case, CT",Fall,504.24,821.28,317.04,0.386031560490941,1.62874821513565
1,70,1247635,INDIANA DEPT OF TRANSPORTATION,Fort Wayne,43182,35956,-0.167,Declining,6,6,6,"Etnyre, Bomag",Spring,3580.56,5510.1,1929.54,0.350182392334078,1.53889335746364
1,70,985670,SMITH PAVING & EXC INC,Brunswick,38958,34320,-0.119,Declining,4,1,4,Kobelco Excavators,Spring,702.75,1144.81,442.06,0.386142678697775,1.62904304517965
1,70,212147,BACHTEL EXCAVATING INC,North Canton,33327,32510,-0.025,Declining,4,3,4,"Kobelco Excavators, Bomag",Winter,1072.6,1747.08,674.48,0.386061313734918,1.62882714898378
1,70,83942,A M G VANADIUM LLC,Cambridge,80164,32104,-0.591,Declining,8,5,8,"Case, JLG",Winter,4073.76,6356.33,2282.57,0.359101871677525,1.56031037665449
1,70,962104,MACK INDUSTRIES,Brunswick,34559,31117,-0.1,Declining,9,7,9,"Case, Kobelco Excavators",Summer,3962.19,6143.77,2181.58,0.355088162480041,1.55059954217238
1,70,41911,HARRISON CO ENGINEER-OHIO,Brilliant,15370,26018,0.693,Growing,3,0,3,"Case, Etnyre, Kobelco",Fall,1010.54,1567.1,556.56,0.355152830068279,1.55075504185881
1,70,2026120,D A ALEXANDER & COMPANY INC,Novi,26272,25013,-0.048,Declining,10,6,10,Case Backhoes,Summer,3408.42,5283.94,1875.52,0.354947255267849,1.55026082466363
1,70,1366798,MORPHEY CONSTRUCTION,Indianapolis,10139,15459,0.563,Growing,3,2,3,"Kubota, Bomag",Summer,1473.68,2522.45,1048.77,0.415774346369601,1.71166739047826
1,70,214592,BENMIT HYDRO-TESTERS,North Canton,10700,15125,0.414,Growing,4,3,4,Case,Fall,4041.1,6266.11,2225.01,0.35508632947714,1.550595134988
1,70,1330041,ACE PAVING,Indianapolis,5445,9715,0.784,Growing,3,1,3,"Bomag, Deere",Winter,591.28,843.35,252.07,0.298891326258374,1.42631240698146
1,70,3048461,REPUBLIC SERVICES INC DBA,North Canton,6738,9442,0.401,Growing,5,5,5,Extec,Winter,4887.79,7579.28,2691.49,0.355111567325656,1.55065581786452
1,70,35233,GALAXY SERVICES,Cambridge,2445,3599,0.472,Growing,3,3,3,Case,Fall,384.17,595.71,211.54,0.355105672223062,1.55064164302262
1,70,2021015,CARRERA LANDSCAPING,Novi,1494,3454,1.312,Growing,3,3,3,T2,Summer,391.2,606.58,215.38,0.355072702693791,1.55056237218814
1,65,1320285,CALUMET CIVIL CONTRACTORS INC,Indianapolis,76610,96787,0.324,Growing,2,0,2,"Kubota, Kobelco Excavators",Fall,1135.14,1942.92,807.78,0.415755666728429,1.71161266451715
