Customer,CustomerName,Branch,BranchName,Equipment,Categories
83650,SHELLY & SANDS INC,1,Cambridge,"Bomag, Kobelco Excavators","Hydraulics, Electrical, Seals"
15551,BI-CON SERVICES INC,1,Cambridge,"Kobelco Excavators, JLG","Seals, Electrical, Hydraulics"
39736,GUERNSEY SCRAP RECYCLING,1,Cambridge,"Case, Case Backhoes","Hydraulics, Electrical, Seals"
67981,MUSKINGUM CO ENGINEER,1,Cambridge,"Case, Etnyre","Hydraulics, Seals, Electrical"
26656,LARRY DESPAULT ENTERPRISES LLC,1,Cambridge,,"Electrical, Seals, Hydraulics"
3098320,ICR EQUIPMENT,1,Cambridge,,"Electrical, Seals, Hydraulics"
24519,COSHOCTON TRUCKING INC,1,Cambridge,Case,"Seals, Electrical, Hydraulics"
3061844,MARLIN LONGENECKER,1,Cambridge,,Hydraulics
71620,PARNELL & ASSOCIATES INC,1,Cambridge,"Bomag, Case","Electrical, Seals, Hydraulics"
10693,ALL STATES LEASING LLC,1,Cambridge,Schwarze,"Hydraulics, Seals, Electrical"
20310,CAMBRIDGE STREET DEPT,1,Cambridge,"Case Backhoes, Schwarze","Hydraulics, Electrical, Seals"
24514,COSHOCTON CO MONROE TWP,1,Cambridge,,Seals
3031202,GT MID ATLANTIC,1,Cambridge,,"Electrical, Seals"
39752,GUERNSEY CO CAMBRIDGE TWP,1,Cambridge,Case Backhoes,"Hydraulics, Electrical"
82711,JOHN SEDOR,1,Cambridge,,Seals
67682,MURPHY TRACTOR & EQUIPMENT CO,1,Cambridge,,"Hydraulics, Seals"
33300,FLECTO CONSTRUCTION,1,Cambridge,,"Hydraulics, Electrical, Seals"
39980,GUERNSEY CO JACKSON TWP,1,Cambridge,,"Seals, Electrical"
64192,TOM MEHAFFEY,1,Cambridge,,"Seals, Electrical, Hydraulics"
3071263,EZ REPAIR,1,Cambridge,,Seals
53061,KNOX CO JACKSON TWP,1,Cambridge,,Seals
51619,KERR REPAIR LLC,1,Cambridge,,Seals
45976,HORNER EXCAVATING LTD,1,Cambridge,,Electrical
1521222,CARTER EXCAVATING,1,Cambridge,"Case, Case Excavators","Seals, Electrical, Hydraulics"
86623,SPIKER BROTHER FARMS,1,Cambridge,,"Hydraulics, Seals"
68840,VILLAGE OF NEW CONCORD,1,Cambridge,Case Backhoes,"Electrical, Seals, Hydraulics"
3040479,BUILT RITE EXCAVATING,1,Cambridge,"Case, Kobelco Excavators","Electrical, Seals, Hydraulics"
25180,J MATTHEW CRISLIP,1,Cambridge,,"Hydraulics, Seals"
3047478,RUSSELL THOMPSON,1,Cambridge,,Seals
52286,KING TRUCKING & EXCAVATING LLC,1,Cambridge,"Kobelco Excavators, Case","Electrical, Hydraulics, Seals"
63329,MARTIN FAMILY FARM,1,Cambridge,,Hydraulics
99749,ZEMBA BROS INC,1,Cambridge,"Case, Bomag","Seals, Electrical, Hydraulics"
39970,GUERNSEY CO HIGHWAY,1,Cambridge,"Case, SB","Hydraulics, Seals, Electrical"
3012603,DONALD PIATT,1,Cambridge,,Seals
70009,O K COAL CONCRETE,1,Cambridge,"Case Backhoes, Case","Hydraulics, Electrical, Seals"
3051739,CAROL GOFF,1,Cambridge,Case Backhoes,Seals
3011568,STEVE WILLS,1,Cambridge,Case,"Seals, Hydraulics"
